boundary,b_norm,unstable
70,0.45811773418369733,False
71,0.35032912069332395,False
72,0.30648828572271264,False
73,0.26788465444531145,False
74,0.29094311147894125,False
75,0.3361869738441984,False
76,0.18978332233356496,False
77,-0.0017839894275230648,False
78,-0.18911838160605385,False
79,-0.42652212442126125,False
80,-0.6762930459131619,False
81,-0.46588734087231753,False
82,-0.31341156302435585,False
83,-0.18269085346673972,False
84,-0.07744084354565071,False
85,-0.01121157942595412,False
86,-0.0127682655005554,False
87,0.004809194648319873,False
88,0.04168189838388516,False
89,0.08995935932802156,False
90,0.1325763612997342,False
91,0.1310818906013372,False
92,0.15498800862746964,False
93,0.20916795836014512,False
94,0.29250826980013983,False
95,0.4123079438764559,False
96,0.3626757837274707,False
97,0.34590410289797924,False
98,0.343805898566866,False
99,0.38167953313588393,False
100,0.4900220679283477,False
101,0.4607553233816568,False
102,0.3161133551453437,False
103,-0.006280721757322886,False
104,-0.3991907136520086,False
105,-0.7753028684341842,False
106,-0.5859673098036231,False
107,-0.5494589373948824,False
108,-0.5060425246078676,False
109,-0.466925457737532,False
110,-0.4331450460310171,False
111,-0.5295090411809925,False
112,-0.5367352234025808,False
113,-0.5053016114193947,False
114,-0.38117583858268816,False
115,-0.26980934761336184,False
116,-0.07205996860321978,False
117,0.2445142608913952,False
118,0.6865545695486343,False
119,1.4256001927495725,False
120,2.4002302404284697,False
121,2.2691103733060496,False
122,2.1569095239018576,False
123,2.259188812150741,False
124,2.620315553054132,False
125,3.1342821756692185,False
126,1.6749188777575754,False
127,0.2550570881940145,False
128,-1.2258599678451176,False
129,-2.8344038696513314,False
130,-4.329581234648223,False
131,-4.120179665309659,False
132,-3.84429103021089,False
133,-3.344068547787527,False
134,-2.5072252817871736,False
135,-1.1883075467397963,False
136,3.574362405329159,False
137,150.10002247447375,True
