,coef,std_err,t,p,ci_lo,ci_hi
const,-0.0,0.0,-3.765,0.0,-0.0,-0.0
elec,21.625,8.986,2.407,0.016,4.013,39.238
gas,20.789,8.082,2.572,0.01,4.948,36.63
oil,46.473,6.975,6.663,0.0,32.802,60.144
has_ac,-8.682,2.938,-2.955,0.003,-14.441,-2.922
log_floor,-1.319,1.321,-0.998,0.318,-3.909,1.271
yr_2013,-1.646,0.812,-2.028,0.043,-3.237,-0.055
yr_2014,-1.468,0.889,-1.652,0.098,-3.21,0.273
yr_2015,-0.487,0.984,-0.495,0.621,-2.416,1.442
yr_2016,1.735,11.12,0.156,0.876,-20.059,23.53
yr_2017,-5.957,1.006,-5.924,0.0,-7.928,-3.986
yr_2018,-19.057,1.011,-18.851,0.0,-21.039,-17.076
yr_2019,-23.55,0.946,-24.895,0.0,-25.404,-21.696
yr_2020,-18.333,6.892,-2.66,0.008,-31.841,-4.825
yr_2021,-25.925,0.793,-32.689,0.0,-27.48,-24.371
yr_2022,-37.993,4.865,-7.81,0.0,-47.528,-28.458
yr_2023,-37.25,0.712,-52.288,0.0,-38.647,-35.854
yr_2024,-37.063,0.82,-45.219,0.0,-38.669,-35.457
yr_2025,-38.338,0.974,-39.342,0.0,-40.248,-36.428
yr_2026,-38.842,2.021,-19.219,0.0,-42.803,-34.881
