rating,observed,counterfactual
101,4263.0,4138.218533082742
102,4512.0,4246.892970197562
103,4410.0,4326.851561213406
104,4362.0,4379.807053598164
105,4350.0,4381.385653072902
106,4365.0,4411.400386102517
107,4203.0,4393.304374914441
108,4137.0,4354.737562479929
109,4015.0,4297.253350023424
110,3974.0,4311.001764063371
111,3887.0,4131.586983698728
112,3847.0,4026.352286035965
113,3810.0,3908.095100762062
114,3872.0,3778.2094828580057
115,3599.0,3612.002945557966
116,3621.0,3488.96982283994
117,3666.0,3332.244544444459
118,3556.0,3169.148360855881
119,3577.0,3000.9159808117447
120,3534.0,2917.3787383436
121,3532.0,2653.8221200635044
122,3591.0,2477.2707105910285
123,3658.0,2300.203247126251
124,3950.0,2123.695092163261
125,3984.0,1948.7897389474583
126,269.0,1776.498811475552
127,343.0,1607.8020644955614
128,311.0,1443.6473835068161
129,354.0,1284.950784759956
130,360.0,1132.59641525693
131,328.0,987.436552750998
132,356.0,850.2916057467298
133,377.0,721.9501135000054
134,337.0,603.1687460180136
135,314.0,468.61763156112636
136,350.0,397.15371913354016
137,341.0,311.2740535019878
138,309.0,237.6625001770285
139,322.0,176.91638292240242
140,294.0,218.2296507958592
141,312.0,96.25040543565883
142,281.0,77.36584648757243
143,306.0,73.41732617787937
144,261.0,84.84282202687135
145,285.0,85.99376980801799
146,252.0,155.4084260386174
147,281.0,215.26514299850356
148,263.0,291.92909371133527
149,271.0,385.67890945395334
150,230.0,585.3898467972094
